Customer Name,Date,Ratings,Review Title,Reviews
Placeholder,Reviewed in India on 21 April 2024,5.0,Performance,Good
Ashok,Reviewed in India on 11 March 2024,4.0,Good quality,But a bit heavy
KSD,Reviewed in India on 23 January 2024,5.0,Perfect product,The bat feels strong and heavy good if u purchase for self defenceThe wood used in it is also tough and u can feel the power in ur hands
hrk,Reviewed in India on 10 December 2023,5.0,good product,nice
Kapil,Reviewed in India on 25 November 2023,1.0,Worst bat you could ever buy,"Paint quality is very poor, also the handle grip is weak. Won't recommend buying it."
Dr Gajanan Ghule,Reviewed in India on 12 November 2023,4.0,Dr Gajanan Ghule,Majbooti ka naam hatoda
nanda4gopal,Reviewed in India on 10 November 2023,1.0,Poor Quality base ball bat,
Ashish Tripathi,Reviewed in India on 1 November 2023,1.0,very poor quality,The media could not be loaded.
sunil chawla,Reviewed in India on 28 October 2023,5.0,Value for money,"I don't recommend any one to buy this, coz the grip had already gone and you can see the area underneath the grip is not even treated or coloured. Very disappointed 😞"
SHIBASUNDAR JENA,Reviewed in India on 20 October 2023,5.0,Very good👍,very cheap and poor quality . its of no use.
Shashi,Reviewed in India on 16 October 2023,5.0,Mind-blowing product,I purchased black and it's same as shown in picture. Well packed and finishing is awesome. Just go for it
rajesh kumar,Reviewed in India on 13 October 2023,1.0,Found it in broken condition,Poor strength as it was broken
Nitin G.,Reviewed in India on 15 September 2023,5.0,Heavy duty…,Nice bat
Priyanka Behera9,Reviewed in India on 13 September 2023,5.0,It’s quite long & thick heavy ofcourse.,I received Black stick but with Blue handle.I need a replacement to Black stick with Black handleThanks Amazon!Great purchase.
Shahrukh Alam,Reviewed in India on 2 September 2023,5.0,Product is Gud and heavy but the color was very bad.,Its standard weight of 1.4 kg and size 34 cm. It's pretty heavy as compared to recent accepted weight of 900g. But still looks Gud it you can handle such weight. Gud for exercise.
Tarish Julka,Reviewed in India on 20 August 2023,2.0,Old,Not good for swinging... To heavy... Product was in scratched condition too.... Grip was falling apart
Suhail Agrawal,Reviewed in India on 11 August 2023,5.0,Heavy,"Really loved the bat, heavy and sturdy"
Good product ,Reviewed in India on 23 July 2023,5.0,Quality is good,Acha h bhai lele yr 🤣
Somnath,Reviewed in India on 20 July 2023,4.0,Heavy Duty Mean it.,Product built-in wood and favicol. I was expecting good rubber coated handle.
